                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.1652,                0.85704,                 1.1525,                0.80607,                0.69468,                0.76502,                0.50077,                 1.1819,                 1.0032,                 1.1964,              0.0010069,              0.0010069,              0.0010069
                     15,                  1.143,                0.84716,                 1.1553,                0.73235,                0.59187,                0.64788,                0.41115,                 1.2471,                 1.2201,                 1.2185,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.1185,                0.81477,                 1.1378,                0.74919,                0.61385,                0.69411,                0.44896,                  1.181,                 1.1437,                 1.1777,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.0922,                0.80763,                 1.1144,                0.82372,                 0.6875,                 0.7772,                0.51348,                 1.1245,                0.93706,                 1.1486,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.0925,                 0.7584,                 1.1284,                0.80754,                0.74018,                0.80496,                0.52563,                 1.1508,                0.84498,                 1.1619,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.0912,                0.77689,                 1.1345,                0.83893,                0.71365,                0.79987,                0.52595,                 1.1558,                0.89043,                  1.163,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.0913,                0.75389,                 1.1108,                0.83396,                0.70693,                 0.7896,                0.52246,                 1.1452,                0.87021,                 1.1553,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.0684,                0.79995,                 1.1009,                0.79178,                0.73739,                0.78767,                0.52334,                  1.133,                0.87908,                 1.1484,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.0351,                0.73913,                 1.0867,                0.81697,                0.70668,                0.77987,                0.52087,                 1.1142,                0.90631,                 1.1461,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.0128,                0.73493,                  1.077,                 0.8312,                0.72331,                0.80158,                0.54551,                 1.1069,                0.81028,                 1.1515,             0.00051177,             0.00051177,             0.00051177
                     24,                0.99675,                0.70572,                   1.07,                0.82986,                0.73062,                0.80332,                0.54624,                 1.0944,                0.85192,                 1.1407,             0.00045676,             0.00045676,             0.00045676
                     25,                0.98785,                0.68711,                 1.0618,                0.81564,                0.67921,                0.76564,                0.51341,                 1.1081,                0.86786,                 1.1364,             0.00040175,             0.00040175,             0.00040175
                     26,                0.95952,                0.68217,                 1.0513,                 0.8484,                0.73834,                0.82302,                0.56119,                 1.0827,                0.79325,                 1.1297,             0.00034674,             0.00034674,             0.00034674
                     27,                0.92923,                0.64263,                 1.0311,                 0.8478,                0.72862,                0.81787,                0.55614,                 1.0934,                0.79153,                 1.1275,             0.00029172,             0.00029172,             0.00029172
                     28,                0.93253,                0.63994,                 1.0298,                0.87729,                0.75738,                0.83553,                0.58317,                  1.039,                0.74804,                 1.1057,             0.00023671,             0.00023671,             0.00023671
                     29,                0.91318,                0.61511,                 1.0278,                0.84709,                0.77411,                0.82852,                0.57737,                 1.0644,                 0.7731,                 1.1205,              0.0001817,              0.0001817,              0.0001817
                     30,                0.87381,                0.58371,                 1.0103,                 0.8653,                0.75254,                0.83319,                0.58231,                 1.0564,                0.75219,                 1.1126,             0.00012669,             0.00012669,             0.00012669
