                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4201,                 1.8571,                 1.3038,                0.38128,                0.60116,                0.32513,                0.19819,                  1.338,                 8.5736,                 1.3439,             0.00054556,             0.00054556,             0.00054556
                      2,                 1.3522,                 1.2247,                 1.2566,                0.58588,                0.44453,                0.41459,                0.22722,                 1.5497,                 3.2514,                 1.5373,              0.0010649,              0.0010649,              0.0010649
                      3,                 1.3736,                 1.2206,                 1.2731,                0.62401,                0.46835,                0.48437,                0.26715,                 1.5204,                 3.1061,                 1.6348,              0.0015475,              0.0015475,              0.0015475
                      4,                 1.3748,                 1.1842,                 1.2645,                 0.3918,                0.32288,                0.31073,                0.17445,                 1.4931,                 2.6216,                 1.4625,               0.001502,               0.001502,               0.001502
                      5,                 1.3452,                 1.1539,                 1.2735,                0.71541,                0.55287,                0.61592,                0.35756,                 1.4418,                 1.7192,                 1.3931,               0.001502,               0.001502,               0.001502
                      6,                 1.3419,                 1.1153,                 1.2587,                0.60971,                0.54602,                0.55629,                0.32905,                 1.4295,                 1.4682,                 1.4115,               0.001447,               0.001447,               0.001447
                      7,                 1.3048,                 1.0353,                 1.2401,                0.73717,                0.55515,                0.62575,                0.36509,                 1.3608,                 1.5176,                 1.2989,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.2728,                 1.0542,                 1.2261,                0.73508,                0.56076,                0.62459,                0.37133,                 1.3611,                 1.4357,                 1.2957,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.2279,                0.95571,                  1.195,                0.74401,                0.68064,                0.74374,                0.44793,                 1.2896,                 1.0919,                 1.2564,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.2469,                0.98345,                 1.2015,                0.75227,                0.64803,                0.70709,                0.43665,                 1.2831,                 1.1414,                 1.2214,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.2231,                0.96061,                 1.2029,                0.70273,                0.68344,                0.71463,                 0.4293,                 1.2862,                 1.0628,                 1.2344,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.1848,                0.91975,                 1.1739,                0.78943,                0.67857,                0.74864,                0.45175,                 1.2954,                 1.0981,                 1.2341,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.1747,                0.87863,                 1.1593,                0.77215,                0.62865,                0.71555,                 0.4523,                  1.195,                 1.0898,                 1.1902,              0.0010619,              0.0010619,              0.0010619
